fname,talhao,classe,bounds_minx,bounds_miny,bounds_maxx,bounds_maxy,cobertura_valida,cobertura_pos_mascara,frac_mascara_total,n_instancias,n_pixels_cafe
train_000035,talhao_7_1,adulto,709924.06663,7698449.52174,709999.79143,7698525.24654,0.35497283935546875,0.35497283935546875,0.0,47,203159
train_000036,talhao_7_1,adulto,709939.22638,7698449.52174,710014.95118,7698525.24654,0.5551681518554688,0.5551681518554688,0.0,48,322707
train_000037,talhao_7_1,adulto,709954.38613,7698449.52174,710030.1109300001,7698525.24654,0.7461624145507812,0.7461624145507812,0.0,74,424610
train_000038,talhao_7_1,adulto,709969.54588,7698449.52174,710045.2706800001,7698525.24654,0.9130544662475586,0.9130544662475586,0.0,109,502391
train_000039,talhao_7_1,adulto,709984.70563,7698449.52174,710060.4304300001,7698525.24654,0.9367008209228516,0.9367008209228516,0.0,136,496589
train_000040,talhao_7_1,adulto,709999.86538,7698449.52174,710075.59018,7698525.24654,0.8369207382202148,0.8369207382202148,0.0,125,435274
train_000041,talhao_7_1,adulto,710015.0251300001,7698449.52174,710090.74993,7698525.24654,0.6728925704956055,0.6728925704956055,0.0,126,331944
train_000042,talhao_7_1,adulto,710030.1848800001,7698449.52174,710105.90968,7698525.24654,0.48198699951171875,0.48198699951171875,0.0,98,230039
train_000043,talhao_7_1,adulto,710045.3446300001,7698449.52174,710121.06943,7698525.24654,0.2926931381225586,0.2926931381225586,0.0,65,131510
train_000044,talhao_7_1,adulto,709924.06663,7698434.36199,709999.79143,7698510.08679,0.34082984924316406,0.34082984924316406,0.0,33,198011
train_000045,talhao_7_1,adulto,709939.22638,7698434.36199,710014.95118,7698510.08679,0.5364418029785156,0.5364418029785156,0.0,46,310582
train_000046,talhao_7_1,adulto,709954.38613,7698434.36199,710030.1109300001,7698510.08679,0.6927194595336914,0.6927194595336914,0.0,66,402442
train_000047,talhao_7_1,adulto,709969.54588,7698434.36199,710045.2706800001,7698510.08679,0.8377838134765625,0.8377838134765625,0.0,79,480752
train_000048,talhao_7_1,adulto,709984.70563,7698434.36199,710060.4304300001,7698510.08679,0.880218505859375,0.880218505859375,0.0,110,483677
train_000049,talhao_7_1,adulto,709999.86538,7698434.36199,710075.59018,7698510.08679,0.8095426559448242,0.8095426559448242,0.0,112,436560
train_000050,talhao_7_1,adulto,710015.0251300001,7698434.36199,710090.74993,7698510.08679,0.6903562545776367,0.6903562545776367,0.0,120,350882
train_000051,talhao_7_1,adulto,710030.1848800001,7698434.36199,710105.90968,7698510.08679,0.5412387847900391,0.5412387847900391,0.0,104,261096
train_000052,talhao_7_1,adulto,710045.3446300001,7698434.36199,710121.06943,7698510.08679,0.3760223388671875,0.3760223388671875,0.0,93,162923
train_000053,talhao_7_1,adulto,710060.50438,7698434.36199,710136.22918,7698510.08679,0.21221065521240234,0.21221065521240234,0.0,62,83910
train_000054,talhao_21,jovem,709696.67038,7698419.2022400005,709772.39518,7698494.92704,0.20730972290039062,0.20730972290039062,0.0,74,80728
train_000055,multiplos_mosaico,misto,709848.26788,7698419.2022400005,709923.99268,7698494.92704,0.16122722625732422,0.16122722625732422,0.19229507446289062,9,127818
train_000056,multiplos_mosaico,misto,709863.42763,7698419.2022400005,709939.15243,7698494.92704,0.1803445816040039,0.1803445816040039,0.1878509521484375,9,144969
train_000057,multiplos_mosaico,misto,709878.58738,7698419.2022400005,709954.31218,7698494.92704,0.18561840057373047,0.18561840057373047,0.10741996765136719,9,149057
train_000058,multiplos_mosaico,misto,709893.74713,7698419.2022400005,709969.47193,7698494.92704,0.1506185531616211,0.1506185531616211,0.02280426025390625,10,126626
train_000059,multiplos_mosaico,misto,709908.90688,7698419.2022400005,709984.63168,7698494.92704,0.22504138946533203,0.22504138946533203,0.0,23,156304
train_000060,talhao_7_1,adulto,709924.06663,7698419.2022400005,709999.79143,7698494.92704,0.38739585876464844,0.38739585876464844,0.0,35,227368
train_000061,talhao_7_1,adulto,709939.22638,7698419.2022400005,710014.95118,7698494.92704,0.5594406127929688,0.5594406127929688,0.0,63,308283
train_000062,talhao_7_1,adulto,709954.38613,7698419.2022400005,710030.1109300001,7698494.92704,0.6836147308349609,0.6836147308349609,0.0,88,373299
train_000063,talhao_7_1,adulto,709969.54588,7698419.2022400005,710045.2706800001,7698494.92704,0.8272523880004883,0.8272523880004883,0.0,103,448018
train_000064,talhao_7_1,adulto,709984.70563,7698419.2022400005,710060.4304300001,7698494.92704,0.8487644195556641,0.8487644195556641,0.0,134,442131
train_000065,talhao_7_1,adulto,709999.86538,7698419.2022400005,710075.59018,7698494.92704,0.7877702713012695,0.7877702713012695,0.0,136,400205
train_000066,talhao_7_1,adulto,710015.0251300001,7698419.2022400005,710090.74993,7698494.92704,0.7006683349609375,0.7006683349609375,0.0,143,338723
train_000067,talhao_7_1,adulto,710030.1848800001,7698419.2022400005,710105.90968,7698494.92704,0.5954122543334961,0.5954122543334961,0.0,131,273749
train_000068,talhao_7_1,adulto,710045.3446300001,7698419.2022400005,710121.06943,7698494.92704,0.43130970001220703,0.43130970001220703,0.0,114,178893
train_000069,talhao_7_1,adulto,710060.50438,7698419.2022400005,710136.22918,7698494.92704,0.2663154602050781,0.2663154602050781,0.0,88,98818
train_000070,talhao_21,jovem,709696.67038,7698404.04249,709772.39518,7698479.76729,0.38266944885253906,0.38266944885253906,0.0,113,165183
train_000071,talhao_21,jovem,709711.83013,7698404.04249,709787.55493,7698479.76729,0.2657442092895508,0.2657442092895508,0.0,70,135904
train_000072,talhao_21,jovem,709726.98988,7698404.04249,709802.71468,7698479.76729,0.15326786041259766,0.15326786041259766,0.0,42,77516
train_000073,multiplos_mosaico,misto,709833.1081300001,7698404.04249,709908.83293,7698479.76729,0.1551504135131836,0.1551504135131836,0.1257343292236328,7,119817
train_000074,talhao_7_2,adulto,709848.26788,7698404.04249,709923.99268,7698479.76729,0.23319625854492188,0.23319625854492188,0.1257343292236328,9,182175
train_000075,talhao_7_2,adulto,709863.42763,7698404.04249,709939.15243,7698479.76729,0.2923917770385742,0.2923917770385742,0.1257343292236328,10,231638
train_000076,talhao_7_2,adulto,709878.58738,7698404.04249,709954.31218,7698479.76729,0.33512210845947266,0.33512210845947266,0.08384037017822266,9,268997
train_000077,talhao_7_2,adulto,709893.74713,7698404.04249,709969.47193,7698479.76729,0.3189830780029297,0.3189830780029297,0.02280426025390625,15,253630
train_000078,talhao_7_2,adulto,709908.90688,7698404.04249,709984.63168,7698479.76729,0.3533000946044922,0.3533000946044922,0.0,30,252884
train_000079,talhao_7_1,adulto,709924.06663,7698404.04249,709999.79143,7698479.76729,0.4562816619873047,0.4562816619873047,0.0,53,276066
train_000080,talhao_7_1,adulto,709939.22638,7698404.04249,710014.95118,7698479.76729,0.571929931640625,0.571929931640625,0.0,82,311687
train_000081,talhao_7_1,adulto,709954.38613,7698404.04249,710030.1109300001,7698479.76729,0.6364545822143555,0.6364545822143555,0.0,118,323944
train_000082,talhao_7_1,adulto,709969.54588,7698404.04249,710045.2706800001,7698479.76729,0.7430715560913086,0.7430715560913086,0.0,135,375521
train_000083,talhao_7_1,adulto,709984.70563,7698404.04249,710060.4304300001,7698479.76729,0.7751407623291016,0.7751407623291016,0.0,175,366117
train_000084,talhao_17_0,jovem,709999.86538,7698404.04249,710075.59018,7698479.76729,0.7527189254760742,0.7527189254760742,0.0,181,342200
train_000085,talhao_17_0,jovem,710015.0251300001,7698404.04249,710090.74993,7698479.76729,0.7037544250488281,0.7037544250488281,0.0,188,302294
train_000086,talhao_17_0,jovem,710030.1848800001,7698404.04249,710105.90968,7698479.76729,0.6263694763183594,0.6263694763183594,0.0,167,259242
train_000087,talhao_17_0,jovem,710045.3446300001,7698404.04249,710121.06943,7698479.76729,0.4779367446899414,0.4779367446899414,0.0,144,179741
train_000088,talhao_17_0,jovem,710060.50438,7698404.04249,710136.22918,7698479.76729,0.3129425048828125,0.3129425048828125,0.0,100,112719
train_000089,multiplos_mosaico,misto,710075.66413,7698404.04249,710151.38893,7698479.76729,0.15445709228515625,0.15445709228515625,0.0,70,51141
train_000090,talhao_21,jovem,709696.67038,7698388.88274,709772.39518,7698464.60754,0.5325994491577148,0.5325994491577148,0.0,119,257489
train_000091,talhao_21,jovem,709711.83013,7698388.88274,709787.55493,7698464.60754,0.4283628463745117,0.4283628463745117,0.0,73,237686
train_000092,talhao_21,jovem,709726.98988,7698388.88274,709802.71468,7698464.60754,0.2893867492675781,0.2893867492675781,0.0,49,160632
train_000093,multiplos_mosaico,misto,709742.14963,7698388.88274,709817.87443,7698464.60754,0.17505455017089844,0.17505455017089844,0.0,32,93803
train_000094,multiplos_mosaico,misto,709833.1081300001,7698388.88274,709908.83293,7698464.60754,0.15677452087402344,0.15677452087402344,0.04687213897705078,8,120337
train_000095,talhao_7_2,adulto,709848.26788,7698388.88274,709923.99268,7698464.60754,0.26729869842529297,0.26729869842529297,0.04687213897705078,9,207400
train_000096,talhao_7_2,adulto,709863.42763,7698388.88274,709939.15243,7698464.60754,0.36657238006591797,0.36657238006591797,0.04687213897705078,9,290474
train_000097,talhao_7_2,adulto,709878.58738,7698388.88274,709954.31218,7698464.60754,0.44938087463378906,0.44938087463378906,0.036163330078125,9,360079
train_000098,talhao_7_2,adulto,709893.74713,7698388.88274,709969.47193,7698464.60754,0.45459556579589844,0.45459556579589844,0.01363372802734375,17,347690
train_000099,talhao_7_2,adulto,709908.90688,7698388.88274,709984.63168,7698464.60754,0.4888296127319336,0.4888296127319336,0.0,44,334412
train_000100,talhao_7_1,adulto,709924.06663,7698388.88274,709999.79143,7698464.60754,0.5574121475219727,0.5574121475219727,0.0,68,328320
train_000101,talhao_7_1,adulto,709939.22638,7698388.88274,710014.95118,7698464.60754,0.6130905151367188,0.6130905151367188,0.0,98,314010
train_000102,talhao_7_1,adulto,709954.38613,7698388.88274,710030.1109300001,7698464.60754,0.5974588394165039,0.5974588394165039,0.0,133,271404
train_000103,talhao_7_1,adulto,709969.54588,7698388.88274,710045.2706800001,7698464.60754,0.6639509201049805,0.6639509201049805,0.0,151,305940
train_000104,talhao_7_1,adulto,709984.70563,7698388.88274,710060.4304300001,7698464.60754,0.6939306259155273,0.6939306259155273,0.0,186,302196
train_000105,talhao_17_0,jovem,709999.86538,7698388.88274,710075.59018,7698464.60754,0.6744699478149414,0.6744699478149414,0.0,201,275752
train_000106,talhao_17_0,jovem,710015.0251300001,7698388.88274,710090.74993,7698464.60754,0.6766643524169922,0.6766643524169922,0.0,213,259053
train_000107,talhao_17_0,jovem,710030.1848800001,7698388.88274,710105.90968,7698464.60754,0.6774482727050781,0.6774482727050781,0.0,203,251527
train_000108,talhao_17_0,jovem,710045.3446300001,7698388.88274,710121.06943,7698464.60754,0.5512495040893555,0.5512495040893555,0.0,182,186689
train_000109,talhao_17_0,jovem,710060.50438,7698388.88274,710136.22918,7698464.60754,0.38674068450927734,0.38674068450927734,0.0,131,125939
train_000110,multiplos_mosaico,misto,710075.66413,7698388.88274,710151.38893,7698464.60754,0.2270984649658203,0.2270984649658203,0.0,89,71354
train_000111,talhao_21,jovem,709696.67038,7698373.722990001,709772.39518,7698449.447790001,0.6952972412109375,0.6952972412109375,0.0,121,348276
train_000112,talhao_21,jovem,709711.83013,7698373.722990001,709787.55493,7698449.447790001,0.6275110244750977,0.6275110244750977,0.0,82,339976
train_000113,talhao_21,jovem,709726.98988,7698373.722990001,709802.71468,7698449.447790001,0.48929691314697266,0.48929691314697266,0.0,62,258801
train_000114,multiplos_mosaico,misto,709742.14963,7698373.722990001,709817.87443,7698449.447790001,0.34101104736328125,0.34101104736328125,0.0,47,174308
train_000115,multiplos_mosaico,misto,709757.30938,7698373.722990001,709833.0341800001,7698449.447790001,0.22448158264160156,0.22448158264160156,0.0,35,111446
train_000116,multiplos_mosaico,misto,709833.1081300001,7698373.722990001,709908.83293,7698449.447790001,0.15647506713867188,0.15647506713867188,0.0,8,120215
train_000117,talhao_7_2,adulto,709848.26788,7698373.722990001,709923.99268,7698449.447790001,0.2711658477783203,0.2711658477783203,0.0,10,209211
train_000118,talhao_7_2,adulto,709863.42763,7698373.722990001,709939.15243,7698449.447790001,0.4059257507324219,0.4059257507324219,0.0,9,319700
train_000119,talhao_7_2,adulto,709878.58738,7698373.722990001,709954.31218,7698449.447790001,0.5288124084472656,0.5288124084472656,0.0,9,422579
train_000120,talhao_7_2,adulto,709893.74713,7698373.722990001,709969.47193,7698449.447790001,0.5732307434082031,0.5732307434082031,0.0,16,438543
train_000121,talhao_7_2,adulto,709908.90688,7698373.722990001,709984.63168,7698449.447790001,0.6212892532348633,0.6212892532348633,0.0,46,423046
train_000122,talhao_7_1,adulto,709924.06663,7698373.722990001,709999.79143,7698449.447790001,0.6817531585693359,0.6817531585693359,0.0,64,419481
train_000123,talhao_7_1,adulto,709939.22638,7698373.722990001,710014.95118,7698449.447790001,0.6678380966186523,0.6678380966186523,0.0,93,363980
train_000124,talhao_7_1,adulto,709954.38613,7698373.722990001,710030.1109300001,7698449.447790001,0.5814304351806641,0.5814304351806641,0.0,118,273895
train_000125,talhao_7_1,adulto,709969.54588,7698373.722990001,710045.2706800001,7698449.447790001,0.578282356262207,0.578282356262207,0.0,131,259939
train_000126,talhao_7_1,adulto,709984.70563,7698373.722990001,710060.4304300001,7698449.447790001,0.5702733993530273,0.5702733993530273,0.0,164,243117
train_000127,talhao_17_0,jovem,709999.86538,7698373.722990001,710075.59018,7698449.447790001,0.5547447204589844,0.5547447204589844,0.0,188,211930
train_000128,talhao_17_0,jovem,710015.0251300001,7698373.722990001,710090.74993,7698449.447790001,0.6037378311157227,0.6037378311157227,0.0,213,208043
train_000129,talhao_17_0,jovem,710030.1848800001,7698373.722990001,710105.90968,7698449.447790001,0.6752052307128906,0.6752052307128906,0.0,228,225669
train_000130,talhao_17_0,jovem,710045.3446300001,7698373.722990001,710121.06943,7698449.447790001,0.6029520034790039,0.6029520034790039,0.0,224,185198
train_000131,talhao_17_0,jovem,710060.50438,7698373.722990001,710136.22918,7698449.447790001,0.46402454376220703,0.46402454376220703,0.0,174,140017
train_000132,multiplos_mosaico,misto,710075.66413,7698373.722990001,710151.38893,7698449.447790001,0.30438232421875,0.30438232421875,0.0,126,85637
train_000133,talhao_20,jovem,709696.67038,7698358.56324,709772.39518,7698434.28804,0.8049860000610352,0.8049860000610352,0.0,107,407664
train_000134,talhao_20,jovem,709711.83013,7698358.56324,709787.55493,7698434.28804,0.789210319519043,0.789210319519043,0.0,89,411532
train_000135,talhao_20,jovem,709726.98988,7698358.56324,709802.71468,7698434.28804,0.6798715591430664,0.6798715591430664,0.0,79,341082
train_000136,talhao_20,jovem,709742.14963,7698358.56324,709817.87443,7698434.28804,0.5018548965454102,0.5018548965454102,0.0,65,244660
train_000137,talhao_20,jovem,709757.30938,7698358.56324,709833.0341800001,7698434.28804,0.3594169616699219,0.3594169616699219,0.0,56,172185
train_000138,multiplos_mosaico,misto,709772.46913,7698358.56324,709848.1939300001,7698434.28804,0.22321605682373047,0.22321605682373047,0.0,41,102968
train_000139,talhao_7_2,adulto,709848.26788,7698358.56324,709923.99268,7698434.28804,0.21349811553955078,0.21349811553955078,0.0,7,161835
train_000140,talhao_7_2,adulto,709863.42763,7698358.56324,709939.15243,7698434.28804,0.35654735565185547,0.35654735565185547,0.0,7,277250
train_000141,talhao_7_2,adulto,709878.58738,7698358.56324,709954.31218,7698434.28804,0.515660285949707,0.515660285949707,0.0,10,402514
train_000142,talhao_7_2,adulto,709893.74713,7698358.56324,709969.47193,7698434.28804,0.623448371887207,0.623448371887207,0.0,17,469347
train_000143,talhao_7_2,adulto,709908.90688,7698358.56324,709984.63168,7698434.28804,0.713109016418457,0.713109016418457,0.0,48,492566
train_000144,talhao_7_2,adulto,709924.06663,7698358.56324,709999.79143,7698434.28804,0.7471389770507812,0.7471389770507812,0.0,64,478986
train_000145,talhao_7_2,adulto,709939.22638,7698358.56324,710014.95118,7698434.28804,0.6893301010131836,0.6893301010131836,0.0,79,407277
train_000146,talhao_7_2,adulto,709954.38613,7698358.56324,710030.1109300001,7698434.28804,0.5612583160400391,0.5612583160400391,0.0,98,292046
train_000147,talhao_7_2,adulto,709969.54588,7698358.56324,710045.2706800001,7698434.28804,0.5072822570800781,0.5072822570800781,0.0,112,241508
train_000148,multiplos_mosaico,misto,709984.70563,7698358.56324,710060.4304300001,7698434.28804,0.48349571228027344,0.48349571228027344,0.0,144,207610
train_000149,talhao_17_0,jovem,709999.86538,7698358.56324,710075.59018,7698434.28804,0.5080022811889648,0.5080022811889648,0.0,165,191353
train_000150,talhao_17_0,jovem,710015.0251300001,7698358.56324,710090.74993,7698434.28804,0.5922622680664062,0.5922622680664062,0.0,197,201020
train_000151,talhao_17_0,jovem,710030.1848800001,7698358.56324,710105.90968,7698434.28804,0.7020969390869141,0.7020969390869141,0.0,222,228916
train_000152,talhao_17_0,jovem,710045.3446300001,7698358.56324,710121.06943,7698434.28804,0.6759071350097656,0.6759071350097656,0.0,232,203346
train_000153,talhao_17_0,jovem,710060.50438,7698358.56324,710136.22918,7698434.28804,0.5639753341674805,0.5639753341674805,0.0,199,166691
train_000154,multiplos_mosaico,misto,710075.66413,7698358.56324,710151.38893,7698434.28804,0.39331626892089844,0.39331626892089844,0.0,154,108849
train_000155,multiplos_mosaico,misto,710090.82388,7698358.56324,710166.54868,7698434.28804,0.2239217758178711,0.2239217758178711,0.0,101,55619
train_000156,talhao_20,jovem,709696.67038,7698343.40349,709772.39518,7698419.12829,0.794281005859375,0.794281005859375,0.0,82,413313
train_000157,talhao_20,jovem,709711.83013,7698343.40349,709787.55493,7698419.12829,0.8119239807128906,0.8119239807128906,0.0,77,424149
train_000158,talhao_20,jovem,709726.98988,7698343.40349,709802.71468,7698419.12829,0.7279872894287109,0.7279872894287109,0.0,83,363752
train_000159,talhao_20,jovem,709742.14963,7698343.40349,709817.87443,7698419.12829,0.5941057205200195,0.5941057205200195,0.0,76,299852
train_000160,talhao_20,jovem,709757.30938,7698343.40349,709833.0341800001,7698419.12829,0.47387218475341797,0.47387218475341797,0.0,61,253960
train_000161,multiplos_mosaico,misto,709772.46913,7698343.40349,709848.1939300001,7698419.12829,0.3295021057128906,0.3295021057128906,0.0,42,184183
train_000162,multiplos_mosaico,misto,709787.62888,7698343.40349,709863.3536800001,7698419.12829,0.2012319564819336,0.2012319564819336,0.0,31,120519
train_000163,talhao_7_2,adulto,709863.42763,7698343.40349,709939.15243,7698419.12829,0.2335214614868164,0.2335214614868164,0.0,6,179221
train_000164,talhao_7_2,adulto,709878.58738,7698343.40349,709954.31218,7698419.12829,0.40085315704345703,0.40085315704345703,0.0,12,308812
train_000165,talhao_7_2,adulto,709893.74713,7698343.40349,709969.47193,7698419.12829,0.5763950347900391,0.5763950347900391,0.0,16,426730
train_000166,talhao_7_2,adulto,709908.90688,7698343.40349,709984.63168,7698419.12829,0.70892333984375,0.70892333984375,0.0,37,495050
train_000167,talhao_7_2,adulto,709924.06663,7698343.40349,709999.79143,7698419.12829,0.7519321441650391,0.7519321441650391,0.0,52,502930
train_000168,talhao_7_2,adulto,709939.22638,7698343.40349,710014.95118,7698419.12829,0.6777610778808594,0.6777610778808594,0.0,56,434781
train_000169,talhao_7_2,adulto,709954.38613,7698343.40349,710030.1109300001,7698419.12829,0.5279979705810547,0.5279979705810547,0.0,66,311157
train_000170,talhao_7_2,adulto,709969.54588,7698343.40349,710045.2706800001,7698419.12829,0.3954305648803711,0.3954305648803711,0.0,71,212220
train_000171,multiplos_mosaico,misto,709984.70563,7698343.40349,710060.4304300001,7698419.12829,0.3483285903930664,0.3483285903930664,0.0,105,161660
train_000172,talhao_17_0,jovem,709999.86538,7698343.40349,710075.59018,7698419.12829,0.4290618896484375,0.4290618896484375,0.0,129,165116
train_000173,talhao_17_0,jovem,710015.0251300001,7698343.40349,710090.74993,7698419.12829,0.5616369247436523,0.5616369247436523,0.0,163,192633
train_000174,talhao_17_0,jovem,710030.1848800001,7698343.40349,710105.90968,7698419.12829,0.7046804428100586,0.7046804428100586,0.0,199,232272
train_000175,talhao_17_0,jovem,710045.3446300001,7698343.40349,710121.06943,7698419.12829,0.7501697540283203,0.7501697540283203,0.0,233,230338
train_000176,talhao_17_0,jovem,710060.50438,7698343.40349,710136.22918,7698419.12829,0.6979990005493164,0.6979990005493164,0.0,230,210123
train_000177,talhao_17_2,jovem,710075.66413,7698343.40349,710151.38893,7698419.12829,0.4996604919433594,0.4996604919433594,0.0,184,139868
train_000178,talhao_17_2,jovem,710090.82388,7698343.40349,710166.54868,7698419.12829,0.3175621032714844,0.3175621032714844,0.0,139,82524
train_000179,talhao_17_2,jovem,710105.98363,7698343.40349,710181.70843,7698419.12829,0.15713024139404297,0.15713024139404297,0.0,87,36999
train_000180,talhao_20,jovem,709696.67038,7698328.24374,709772.39518,7698403.96854,0.6206293106079102,0.6206293106079102,0.05874347686767578,54,329659
train_000181,talhao_20,jovem,709711.83013,7698328.24374,709787.55493,7698403.96854,0.6874246597290039,0.6874246597290039,0.05276203155517578,57,363744
train_000182,talhao_20,jovem,709726.98988,7698328.24374,709802.71468,7698403.96854,0.6808900833129883,0.6808900833129883,0.035449981689453125,64,357481
train_000183,talhao_20,jovem,709742.14963,7698328.24374,709817.87443,7698403.96854,0.6271648406982422,0.6271648406982422,0.019677162170410156,62,350045
train_000184,talhao_20,jovem,709757.30938,7698328.24374,709833.0341800001,7698403.96854,0.5859060287475586,0.5859060287475586,0.008703231811523438,52,357731
train_000185,talhao_18,adulto,709772.46913,7698328.24374,709848.1939300001,7698403.96854,0.5026359558105469,0.5026359558105469,0.0,45,316905
train_000186,talhao_18,adulto,709787.62888,7698328.24374,709863.3536800001,7698403.96854,0.36342811584472656,0.36342811584472656,0.0,34,243858
train_000187,talhao_18,adulto,709802.7886300001,7698328.24374,709878.51343,7698403.96854,0.23284244537353516,0.23284244537353516,0.0,15,170154
train_000188,talhao_18,adulto,709817.9483800001,7698328.24374,709893.67318,7698403.96854,0.15530776977539062,0.15530776977539062,0.0,6,108934
train_000189,talhao_7_2,adulto,709878.58738,7698328.24374,709954.31218,7698403.96854,0.2515125274658203,0.2515125274658203,0.0,10,189066
train_000190,talhao_7_2,adulto,709893.74713,7698328.24374,709969.47193,7698403.96854,0.43103885650634766,0.43103885650634766,0.0,14,319134
train_000191,talhao_7_2,adulto,709908.90688,7698328.24374,709984.63168,7698403.96854,0.6214370727539062,0.6214370727539062,0.0,32,442897
train_000192,talhao_7_2,adulto,709924.06663,7698328.24374,709999.79143,7698403.96854,0.7072048187255859,0.7072048187255859,0.0,36,494400
